20 80
-18 -5 -12 
-2 -9 -7 
-9 18 -5 
-4 14 -10 
17 5 -3 
2 -15 -1 
4 16 -3 
-5 8 13 
20 -5 13 
3 8 -8 
-5 -18 -10 
2 -5 -20 
19 7 8 
3 11 6 
14 3 -14 
-9 -17 -7 
-14 -3 8 
14 6 5 
-13 5 17 
16 12 -17 
6 -20 20 
6 5 -9 
-15 5 -11 
19 -19 11 
-4 -2 -16 
11 -7 -5 
-6 11 4 
12 -12 9 
-16 -3 -10 
-11 12 -2 
-9 -6 20 
18 16 8 
-4 -1 3 
12 -11 3 
4 6 -19 
-5 -6 17 
3 -13 -12 
-18 -1 16 
-11 -5 11 
13 14 -6 
-17 11 13 
15 13 7 
-5 7 -5 
-17 10 -5 
6 10 -2 
-2 10 17 
1 -14 2 
-4 -17 -7 
14 12 16 
-13 -18 14 
11 -7 18 
-15 -9 -1 
6 -20 20 
-17 -5 18 
11 11 19 
-20 19 19 
13 -7 6 
5 18 11 
-15 2 7 
-11 -11 -13 
-15 -20 3 
-20 20 14 
20 2 19 
3 20 15 
19 -5 11 
-20 1 -17 
-13 -19 -13 
19 14 17 
16 9 5 
9 -17 -8 
12 -9 15 
-5 2 16 
4 5 -3 
10 -10 -14 
7 16 20 
1 -20 20 
-14 -3 -19 
-13 -15 -17 
-3 -20 16 
-5 14 20
